Country or Area,Year,Area,Sex,City,City type,Record Type,Reliability,Source Year,Value,Value Footnotes
Albania,2011,Total,Both Sexes,Durrës,City proper,Census - de jure - complete tabulation,"Final figure, complete",2013,113249,null
Albania,2011,Total,Both Sexes,TIRANA,City proper,Census - de jure - complete tabulation,"Final figure, complete",2013,418495,null
Albania,2003,Total,Both Sexes,TIRANA,City proper,Estimate - de facto,"Final figure, complete",2004,392863,null
Algeria,2008,Total,Both Sexes,Adrar,City proper,Census - de jure - complete tabulation,"Final figure, complete",2016,200834,null
Algeria,2008,Total,Both Sexes,Ain Defla,City proper,Census - de jure - complete tabulation,"Final figure, complete",2016,450280,null
Algeria,2008,Total,Both Sexes,Ain Temouchent,City proper,Census - de jure - complete tabulation,"Final figure, complete",2016,299341,null
Algeria,2008,Total,Both Sexes,Annaba,City proper,Census - de jure - complete tabulation,"Final figure, complete",2016,442230,null
Algeria,2008,Total,Both Sexes,Batna,City proper,Census - de jure - complete tabulation,"Final figure, complete",2016,768444,null
Algeria,2008,Total,Both Sexes,Béchar,City proper,Census - de jure - complete tabulation,"Final figure, complete",2016,236213,null
Algeria,2008,Total,Both Sexes,Bejaïa,City proper,Census - de jure - complete tabulation,"Final figure, complete",2016,559981,null
Algeria,2008,Total,Both Sexes,Beskra (Biskra),City proper,Census - de jure - complete tabulation,"Final figure, complete",2016,563245,null
Algeria,2008,Total,Both Sexes,Bordj Bou Arreridj,City proper,Census - de jure - complete tabulation,"Final figure, complete",2016,422986,null
Algeria,2008,Total,Both Sexes,Bouira,City proper,Census - de jure - complete tabulation,"Final figure, complete",2016,372196,null
Algeria,2008,Total,Both Sexes,Boumerdes,City proper,Census - de jure - complete tabulation,"Final figure, complete",2016,459250,null
Algeria,2008,Total,Both Sexes,Chlef,City proper,Census - de jure - complete tabulation,"Final figure, complete",2016,521070,null
Algeria,2008,Total,Both Sexes,El Bayadh,City proper,Census - de jure - complete tabulation,"Final figure, complete",2016,192958,null
Algeria,2008,Total,Both Sexes,El Boulaïda (Blida),City proper,Census - de jure - complete tabulation,"Final figure, complete",2016,719515,null
Algeria,2008,Total,Both Sexes,ALGIERS (EL DJAZAIR),City proper,Census - de jure - complete tabulation,"Final figure, complete",2016,2712944,null
Algeria,2008,Total,Both Sexes,El Djelfa,City proper,Census - de jure - complete tabulation,"Final figure, complete",2016,825411,null
Algeria,2008,Total,Both Sexes,El Oued,City proper,Census - de jure - complete tabulation,"Final figure, complete",2016,495573,null
Algeria,2008,Total,Both Sexes,El Tarf,City proper,Census - de jure - complete tabulation,"Final figure, complete",2016,230157,null
Algeria,2008,Total,Both Sexes,Ghardaïa,City proper,Census - de jure - complete tabulation,"Final figure, complete",2016,355701,null
Algeria,2008,Total,Both Sexes,Ghilizane (Relizane),City proper,Census - de jure - complete tabulation,"Final figure, complete",2016,432386,null
Algeria,2008,Total,Both Sexes,Guelma,City proper,Census - de jure - complete tabulation,"Final figure, complete",2016,363716,null
Algeria,2008,Total,Both Sexes,Jijel,City proper,Census - de jure - complete tabulation,"Final figure, complete",2016,391096,null
Algeria,2008,Total,Both Sexes,Khenchela,City proper,Census - de jure - complete tabulation,"Final figure, complete",2016,288849,null
Algeria,2008,Total,Both Sexes,Laghouat,City proper,Census - de jure - complete tabulation,"Final figure, complete",2016,371204,null
Algeria,2008,Total,Both Sexes,Lemdiyya (Médéa),City proper,Census - de jure - complete tabulation,"Final figure, complete",2016,519383,null
Algeria,2008,Total,Both Sexes,Mestghanem (Mostaganem),City proper,Census - de jure - complete tabulation,"Final figure, complete",2016,338143,null
Algeria,2008,Total,Both Sexes,Mila,City proper,Census - de jure - complete tabulation,"Final figure, complete",2016,440735,null
